,event,time_scal
2659,8,0.055511574074074074
2660,6,0.05552314814814815
2661,9,0.05552662037037037
2662,8,0.05553009259259259
2663,9,0.05554282407407407
2664,8,0.05554513888888889
2665,9,0.055552083333333335
2666,8,0.05555439814814815
2667,9,0.055560185185185185
2668,8,0.05556134259259259
2669,9,0.05569212962962963
2670,8,0.055693287037037034
2671,10,0.05575810185185185
2672,7,0.05584375
2673,6,0.055850694444444446
2674,7,0.05587037037037037
2675,6,0.055878472222222225
2676,11,0.05589699074074074
2677,7,0.05591203703703704
2678,6,0.055928240740740744
38524,22,0.05595486111111111
2679,10,0.05596875
38525,23,0.05599884259259259
38526,22,0.05615393518518518
38527,23,0.056177083333333336
38528,22,0.056179398148148145
38529,23,0.05620949074074074
38530,22,0.05621759259259259
38531,23,0.056241898148148145
38532,22,0.05632175925925926
2680,11,0.05633680555555556
38533,23,0.056358796296296296
2681,10,0.056365740740740744
38534,22,0.05643865740740741
38535,23,0.056533564814814814
38536,22,0.05692592592592593
38537,23,0.0569525462962963
38538,22,0.05697222222222222
38539,23,0.05701388888888889
38540,22,0.0570162037037037
38541,23,0.057041666666666664
38542,22,0.05704398148148148
38543,23,0.057165509259259256
38544,22,0.05716782407407407
38545,23,0.05725462962962963
38546,22,0.057256944444444444
38547,23,0.05732291666666667
38548,22,0.057325231481481484
38549,23,0.05735763888888889
38550,22,0.05737037037037037
2682,0,0.0580625
2683,1,0.058153935185185184
2684,0,0.06783449074074074
2685,1,0.06789351851851852
2686,0,0.0681400462962963
2687,1,0.0682025462962963
2688,0,0.06826041666666667
2689,1,0.06832407407407408
2690,0,0.06968171296296297
2691,1,0.06974421296296296
38551,23,0.07178587962962962
38552,22,0.07179976851851852
38553,23,0.07200694444444444
2692,7,0.07201967592592592
2693,6,0.07203703703703704
2694,0,0.07209953703703703
2695,1,0.07216782407407407
2696,7,0.0721875
2697,6,0.07224537037037038
2698,7,0.07238078703703704
2699,6,0.07238773148148148
38554,22,0.07239583333333334
38555,23,0.0724212962962963
2700,7,0.0725474537037037
2701,6,0.07255092592592592
2702,7,0.07297800925925926
2703,6,0.07299074074074074
38556,22,0.07303587962962962
2704,0,0.07304398148148149
2705,1,0.07312268518518518
38557,23,0.07448032407407408
38558,22,0.07478819444444444
38559,23,0.07575462962962963
38560,22,0.0762662037037037
38561,23,0.0763298611111111
2706,7,0.07650578703703703
2707,6,0.07651041666666666
2708,7,0.0765798611111111
2709,6,0.07658217592592592
38562,22,0.07669328703703704
38563,23,0.07715277777777778
38564,22,0.07726851851851851
38565,23,0.07730092592592593
38566,22,0.07734722222222222
38567,23,0.07737731481481482
38568,22,0.07777662037037036
2710,0,0.07815972222222223
2711,1,0.07823263888888889
2712,0,0.07854976851851851
2713,1,0.07862152777777778
2714,0,0.07878935185185185
2715,1,0.0788599537037037
2716,0,0.07893634259259259
2717,1,0.07900925925925927
2718,0,0.07901273148148148
2719,1,0.07908101851851852
2720,0,0.07908449074074074
2721,1,0.0791701388888889
2722,0,0.07924537037037037
2723,1,0.07930671296296296
2724,0,0.07932523148148148
2725,1,0.07940740740740741
2726,0,0.07955208333333333
2727,1,0.07961689814814815
2728,0,0.0798587962962963
2729,1,0.07994675925925926
2730,0,0.08038425925925925
2731,1,0.08046180555555556
2732,17,0.0808900462962963
2733,16,0.0808912037037037
2734,17,0.08090162037037037
2735,16,0.08090277777777778
2736,17,0.08099305555555555
2737,16,0.08099421296296297
2738,17,0.08099768518518519
2739,16,0.081
2740,17,0.08104166666666666
2741,16,0.08104282407407408
2742,17,0.0810451388888889
2743,16,0.08105324074074075
2744,17,0.08105671296296296
2745,16,0.08105902777777778
2746,17,0.08106365740740741
2747,16,0.08107638888888889
2748,17,0.08107986111111111
2749,16,0.08113194444444445
2750,17,0.08113425925925925
2751,16,0.0811550925925926
2752,17,0.08115625
2753,16,0.08119907407407408
2754,17,0.08120023148148148
2755,0,0.0824224537037037
2756,1,0.08248032407407407
38569,23,0.08282986111111111
2757,16,0.08283217592592593
2758,7,0.08319444444444445
